Student_ID,Name,Age,Gender,Math_Score,English_Score,Grade_Level
1,Alice,18,Female,85,78,Senior
2,Bob,17,Male,92,88,Junior
3,Charlie,19,Male,76,85,Senior
4,David,16,Male,89,91,Sophomore
5,Eva,18,Female,95,94,Senior
6,Frank,17,Male,68,72,Junior
7,Grace,16,Female,80,75,Sophomore
8,Henry,19,Male,88,90,Senior
9,Irene,18,Female,91,87,Junior
10,Jack,17,Male,74,70,Sophomore
11,Kate,18,Female,90,82,Senior
12,Liam,17,Male,85,79,Junior
13,Mia,19,Female,78,88,Senior
14,Noah,16,Male,80,76,Sophomore
15,Olivia,18,Female,95,92,Senior
16,Peter,17,Male,72,71,Junior
17,Quinn,16,Female,88,84,Sophomore
18,Ryan,19,Male,91,89,Senior
19,Sophia,18,Female,87,85,Junior
20,Tom,17,Male,75,73,Sophomore
21,Uma,18,Female,92,90,Senior
22,Vic,17,Male,76,78,Junior
23,Wendy,19,Female,84,80,Senior
24,Xander,16,Male,82,75,Sophomore
25,Yara,18,Female,89,88,Senior
26,Zane,17,Male,90,82,Junior
27,Ava,19,Female,86,87,Senior
28,Ben,16,Male,77,72,Sophomore
29,Cora,18,Female,93,91,Senior
30,Derek,17,Male,79,74,Junior
31,Evelyn,19,Female,81,83,Senior
32,Finn,16,Male,88,79,Sophomore
33,Gina,18,Female,84,85,Senior
34,Hugo,17,Male,92,90,Junior
35,Ivy,19,Female,76,78,Senior
36,Jackie,18,Female,90,84,Junior
37,Karl,17,Male,81,73,Junior
38,Lily,19,Female,88,89,Senior
39,Mark,16,Male,77,70,Sophomore
40,Nina,18,Female,95,95,Senior
41,Owen,17,Male,84,81,Junior
42,Pam,19,Female,82,88,Senior
43,Quincy,16,Male,75,72,Sophomore
44,Rita,18,Female,89,86,Senior
45,Steve,17,Male,78,75,Junior
46,Tina,19,Female,91,92,Senior
47,Uma,16,Female,83,79,Sophomore
48,Vince,18,Male,86,84,Senior
49,Willa,17,Female,94,90,Junior
50,Xena,19,Female,80,87,Senior
51,Yasmine,16,Female,90,82,Sophomore
52,Zach,18,Male,72,70,Senior
53,Alice,17,Female,88,78,Junior
54,Bob,19,Male,95,91,Senior
55,Charlie,16,Male,77,76,Sophomore
56,David,18,Male,83,85,Senior
57,Eva,17,Female,79,73,Junior
58,Frank,19,Male,91,88,Senior
59,Grace,16,Female,94,92,Sophomore
60,Henry,18,Male,88,81,Senior
61,Irene,17,Female,86,80,Junior
62,Jack,19,Male,85,87,Senior
63,Kate,16,Female,92,89,Sophomore
64,Liam,18,Male,78,74,Senior
65,Mia,17,Female,83,82,Junior
66,Noah,19,Male,90,90,Senior
67,Olivia,16,Female,91,76,Sophomore
68,Peter,18,Male,84,78,Senior
69,Quinn,17,Female,82,75,Junior
70,Ryan,19,Male,76,88,Senior
71,Sophia,16,Female,95,93,Sophomore
72,Tom,18,Male,89,85,Senior
73,Uma,17,Female,84,82,Junior
74,Vic,19,Male,77,80,Senior
75,Wendy,16,Female,83,79,Sophomore
76,Xander,18,Male,91,87,Senior
77,Yara,17,Female,92,88,Junior
78,Zane,19,Male,87,82,Senior
79,Ava,16,Female,76,72,Sophomore
80,Ben,18,Male,95,90,Senior
81,Cora,17,Female,89,86,Junior
82,Derek,19,Male,80,84,Senior
83,Evelyn,16,Female,88,75,Sophomore
84,Finn,18,Male,84,81,Senior
85,Gina,17,Female,92,90,Junior
86,Hugo,19,Male,76,78,Senior
87,Jackie,16,Female,90,83,Sophomore
88,Karl,18,Male,82,80,Senior
89,Lily,17,Female,95,91,Junior
90,Mark,19,Male,85,85,Senior
91,Nina,16,Female,89,77,Sophomore
92,Owen,18,Male,91,82,Senior
93,Pam,17,Female,80,76,Junior
94,Quincy,19,Male,78,79,Senior
95,Rita,16,Female,84,72,Sophomore
96,Steve,18,Male,92,88,Senior
97,Tina,17,Female,88,81,Junior
98,Uma,19,Female,95,94,Senior
99,Vince,16,Male,81,73,Sophomore
100,Willa,18,Female,90,82,Senior
